Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-0.5022334319274204,-0.5022334319274204
2024-10-14,5.0,-0.34347271180446687,-0.34347271180446687
2024-10-15,3.0,-0.660994152050374,-0.660994152050374
2024-10-16,5.0,-0.34347271180446687,-0.34347271180446687
2024-10-17,3.5,-0.5816137919888973,-0.5816137919888973
2024-10-20,4.5,-0.4228530718659437,-0.4228530718659437
2024-10-21,6.5,-0.10533163162003649,-0.10533163162003649
2024-10-22,6.0,-0.18471199168151328,-0.18471199168151328
2024-10-23,6.0,-0.18471199168151328,-0.18471199168151328
2024-10-24,6.0,-0.18471199168151328,-0.18471199168151328
2024-10-27,19.0,1.8791773699168834,1.8791773699168834
2024-10-28,5.0,-0.34347271180446687,-0.34347271180446687
2024-10-29,5.5,-0.26409235174299006,-0.26409235174299006
2024-11-03,8.0,0.1328094485643939,0.1328094485643939
2024-11-04,5.0,-0.34347271180446687,-0.34347271180446687
2024-11-05,50.0,6.800759693728445,6.800759693728445
2024-11-06,4.5,-0.4228530718659437,-0.4228530718659437
2024-11-07,7.0,-0.0259512715585597,-0.0259512715585597
2024-11-10,8.5,0.2121898086258707,0.2121898086258707
2024-11-11,6.5,-0.10533163162003649,-0.10533163162003649
2024-11-12,5.0,-0.34347271180446687,-0.34347271180446687
2024-11-17,4.5,-0.4228530718659437,-0.4228530718659437
2024-11-18,4.5,-0.4228530718659437,-0.4228530718659437
2024-11-19,4.5,-0.4228530718659437,-0.4228530718659437
2024-11-20,2.5,-0.7403745121118509,-0.7403745121118509
2024-11-21,3.5,-0.5816137919888973,-0.5816137919888973
2024-11-24,9.5,0.3709505287488243,0.3709505287488243
2024-11-25,6.5,-0.10533163162003649,-0.10533163162003649
2024-11-26,3.0,-0.660994152050374,-0.660994152050374
2024-11-28,3.5,-0.5816137919888973,-0.5816137919888973
2024-12-01,9.0,0.2915701686873475,0.2915701686873475
2024-12-02,7.5,0.053429088502917096,0.053429088502917096
2024-12-03,6.0,-0.18471199168151328,-0.18471199168151328
2024-12-04,4.0,-0.5022334319274204,-0.5022334319274204
2024-12-05,4.5,-0.4228530718659437,-0.4228530718659437
2024-12-08,5.0,-0.34347271180446687,-0.34347271180446687
2024-12-09,3.5,-0.5816137919888973,-0.5816137919888973
2024-12-10,4.0,-0.5022334319274204,-0.5022334319274204
2024-12-15,2.5,-0.7403745121118509,-0.7403745121118509
2024-12-16,3.0,-0.660994152050374,-0.660994152050374
2024-12-17,2.5,-0.7403745121118509,-0.7403745121118509
2024-12-18,5.0,-0.34347271180446687,-0.34347271180446687
2024-12-22,4.0,-0.5022334319274204,-0.5022334319274204
2024-12-23,2.5,-0.7403745121118509,-0.7403745121118509
2024-12-25,6.5,-0.10533163162003649,-0.10533163162003649
2024-12-26,4.5,-0.4228530718659437,-0.4228530718659437
2024-12-29,3.0,-0.660994152050374,-0.660994152050374
2024-12-30,5.0,-0.34347271180446687,-0.34347271180446687
2025-01-01,7.5,0.053429088502917096,0.053429088502917096
2025-01-02,3.0,-0.660994152050374,-0.660994152050374
2025-01-05,7.5,0.053429088502917096,0.053429088502917096
2025-01-06,5.0,-0.34347271180446687,-0.34347271180446687
2025-01-07,4.0,-0.5022334319274204,-0.5022334319274204
2025-01-08,6.5,-0.10533163162003649,-0.10533163162003649
2025-01-09,4.5,-0.4228530718659437,-0.4228530718659437
2025-01-12,7.5,0.053429088502917096,0.053429088502917096
2025-01-13,4.0,-0.5022334319274204,-0.5022334319274204
2025-01-16,2.5,-0.7403745121118509,-0.7403745121118509
2025-01-19,3.0,-0.660994152050374,-0.660994152050374
2025-01-20,12.5,0.847232689117685,0.847232689117685
2025-01-21,3.5,-0.5816137919888973,-0.5816137919888973
2025-01-22,3.0,-0.660994152050374,-0.660994152050374
2025-01-23,5.0,-0.34347271180446687,-0.34347271180446687
2025-01-26,10.5,0.5297112488717779,0.5297112488717779
2025-01-27,5.0,-0.34347271180446687,-0.34347271180446687
2025-01-28,4.0,-0.5022334319274204,-0.5022334319274204
2025-01-29,4.5,-0.4228530718659437,-0.4228530718659437
2025-02-02,17.5,1.641036289732453,1.641036289732453
2025-02-03,4.0,-0.5022334319274204,-0.5022334319274204
2025-02-04,5.0,-0.34347271180446687,-0.34347271180446687
2025-02-05,3.5,-0.5816137919888973,-0.5816137919888973
2025-02-06,3.5,-0.5816137919888973,-0.5816137919888973
2025-02-09,4.5,-0.4228530718659437,-0.4228530718659437
2025-02-10,3.5,-0.5816137919888973,-0.5816137919888973
2025-02-11,6.5,-0.10533163162003649,-0.10533163162003649
2025-02-16,5.5,-0.26409235174299006,-0.26409235174299006
2025-02-17,6.5,-0.10533163162003649,-0.10533163162003649
2025-02-18,2.5,-0.7403745121118509,-0.7403745121118509
2025-02-19,4.0,-0.5022334319274204,-0.5022334319274204
2025-02-20,5.0,-0.34347271180446687,-0.34347271180446687
2025-02-23,4.0,-0.5022334319274204,-0.5022334319274204
2025-02-24,7.0,-0.0259512715585597,-0.0259512715585597
2025-02-25,9.5,0.3709505287488243,0.3709505287488243
2025-02-26,9.5,0.3709505287488243,0.3709505287488243
2025-03-02,7.5,0.053429088502917096,0.053429088502917096
2025-03-03,11.5,0.6884719689947315,0.6884719689947315
2025-03-04,12.5,0.847232689117685,0.847232689117685
2025-03-05,11.0,0.6090916089332546,0.6090916089332546
2025-03-06,7.5,0.053429088502917096,0.053429088502917096
2025-03-09,9.0,0.2915701686873475,0.2915701686873475
2025-03-10,12.5,0.847232689117685,0.847232689117685
2025-03-11,7.5,0.053429088502917096,0.053429088502917096
2025-03-16,6.5,-0.10533163162003649,-0.10533163162003649
2025-03-17,4.5,-0.4228530718659437,-0.4228530718659437
2025-03-18,4.0,-0.5022334319274204,-0.5022334319274204
2025-03-19,8.5,0.2121898086258707,0.2121898086258707
2025-03-20,4.0,-0.5022334319274204,-0.5022334319274204
2025-03-23,5.0,-0.34347271180446687,-0.34347271180446687
2025-03-24,2.5,-0.7403745121118509,-0.7403745121118509
2025-03-25,5.0,-0.34347271180446687,-0.34347271180446687
2025-03-26,5.0,-0.34347271180446687,-0.34347271180446687
2025-03-30,10.5,0.5297112488717779,0.5297112488717779
2025-03-31,5.0,-0.34347271180446687,-0.34347271180446687
2025-04-01,6.5,-0.10533163162003649,-0.10533163162003649
2025-04-02,16.0,1.4028952095480227,1.4028952095480227
2025-04-03,16.0,1.4028952095480227,1.4028952095480227
2025-04-06,27.0,3.1492631309005117,3.1492631309005117
2025-04-07,12.5,0.847232689117685,0.847232689117685
2025-04-08,51.0,6.959520413851398,6.959520413851398
2025-04-09,23.5,2.5936006104701743,2.5936006104701743
