Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-0.4777591881392765,-0.4777591881392765
2024-10-14,0.875,-0.17754561827653198,-0.17754561827653198
2024-10-15,0.375,-0.5778303780935247,-0.5778303780935247
2024-10-16,0.5,-0.4777591881392765,-0.4777591881392765
2024-10-17,0.4374992000000475,-0.5277954235719783,-0.5277954235719783
2024-10-20,0.375,-0.5778303780935247,-0.5778303780935247
2024-10-21,0.75,-0.27761680823078017,-0.27761680823078017
2024-10-22,0.9374992000000475,-0.1275106637549856,-0.1275106637549856
2024-10-23,0.875,-0.17754561827653198,-0.17754561827653198
2024-10-24,0.5,-0.4777591881392765,-0.4777591881392765
2024-10-27,1.0,-0.07747442832228381,-0.07747442832228381
2024-10-28,0.5625007999999525,-0.42772295270657473,-0.42772295270657473
2024-10-29,0.4374992000000475,-0.5277954235719783,-0.5277954235719783
2024-11-03,1.1874992000000475,0.07263171615351076,0.07263171615351076
2024-11-04,0.4375007999999525,-0.5277941426608229,-0.5277941426608229
2024-11-05,4.1874992000000475,2.474340275055467,2.474340275055467
2024-11-06,0.875,-0.17754561827653198,-0.17754561827653198
2024-11-07,0.5624992000000475,-0.4277242336177301,-0.4277242336177301
2024-11-10,0.75,-0.27761680823078017,-0.27761680823078017
2024-11-11,0.4374992000000475,-0.5277954235719783,-0.5277954235719783
2024-11-12,0.5624992000000475,-0.4277242336177301,-0.4277242336177301
2024-11-17,0.8124992000000475,-0.22758185370923376,-0.22758185370923376
2024-11-18,0.4374992000000475,-0.5277954235719783,-0.5277954235719783
2024-11-19,0.5,-0.4777591881392765,-0.4777591881392765
2024-11-20,0.4374992000000475,-0.5277954235719783,-0.5277954235719783
2024-11-21,0.4374992000000475,-0.5277954235719783,-0.5277954235719783
2024-11-24,0.875,-0.17754561827653198,-0.17754561827653198
2024-11-25,0.875,-0.17754561827653198,-0.17754561827653198
