Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.125,-0.4225986393525993,-0.4225986393525993
2024-10-15,2.125,-0.4225986393525993,-0.4225986393525993
2024-10-16,2.375,-0.27675232714584613,-0.27675232714584613
2024-10-17,1.125,-1.0059838881796117,-1.0059838881796117
2024-10-18,1.625,-0.7142912637661055,-0.7142912637661055
2024-10-21,4.0,0.6712487021980492,0.6712487021980492
2024-10-22,1.25,-0.9330607320762352,-0.9330607320762352
2024-10-23,1.25,-0.9330607320762352,-0.9330607320762352
2024-10-24,2.375,-0.27675232714584613,-0.27675232714584613
2024-10-25,1.625,-0.7142912637661055,-0.7142912637661055
2024-10-28,2.875,0.014940297267660125,0.014940297267660125
2024-10-29,2.875,0.014940297267660125,0.014940297267660125
2024-11-04,2.5,-0.20382917104246956,-0.20382917104246956
2024-11-05,2.25,-0.3496754832492227,-0.3496754832492227
2024-11-06,5.625,1.6192497315419445,1.6192497315419445
2024-11-07,3.375,0.3066329216811664,0.3066329216811664
2024-11-08,3.375,0.3066329216811664,0.3066329216811664
2024-11-11,2.375,-0.27675232714584613,-0.27675232714584613
2024-11-12,3.125,0.16078660947441326,0.16078660947441326
2024-11-15,3.375,0.3066329216811664,0.3066329216811664
2024-11-18,2.625,-0.130906014939093,-0.130906014939093
2024-11-19,5.0,1.2546339510250617,1.2546339510250617
2024-11-20,2.25,-0.3496754832492227,-0.3496754832492227
2024-11-21,2.375,-0.27675232714584613,-0.27675232714584613
2024-11-22,2.625,-0.130906014939093,-0.130906014939093
2024-11-25,2.625,-0.130906014939093,-0.130906014939093
2024-11-26,1.625,-0.7142912637661055,-0.7142912637661055
2024-11-28,1.25,-0.9330607320762352,-0.9330607320762352
2024-11-29,1.5,-0.787214419869482,-0.787214419869482
2024-12-02,4.875,1.1817107949216852,1.1817107949216852
2024-12-03,4.5,0.9629413266115555,0.9629413266115555
2024-12-04,2.125,-0.4225986393525993,-0.4225986393525993
2024-12-05,4.25,0.8170950144048024,0.8170950144048024
2024-12-09,3.125,0.16078660947441326,0.16078660947441326
2024-12-10,3.0,0.0878634533710367,0.0878634533710367
2024-12-13,2.375,-0.27675232714584613,-0.27675232714584613
2024-12-16,1.375,-0.8601375759728587,-0.8601375759728587
2024-12-17,2.875,0.014940297267660125,0.014940297267660125
2024-12-18,1.875,-0.5684449515593524,-0.5684449515593524
2024-12-23,1.625,-0.7142912637661055,-0.7142912637661055
2024-12-26,0.875,-1.151830200386365,-1.151830200386365
2024-12-27,2.25,-0.3496754832492227,-0.3496754832492227
2024-12-30,2.25,-0.3496754832492227,-0.3496754832492227
2024-12-31,1.5,-0.787214419869482,-0.787214419869482
2025-01-02,3.875,0.5983255460946726,0.5983255460946726
2025-01-03,1.5,-0.787214419869482,-0.787214419869482
2025-01-06,3.5,0.3795560777845429,0.3795560777845429
2025-01-07,2.0059814453127274,-0.4920323084938652,-0.4920323084938652
2025-01-08,2.5,-0.20382917104246956,-0.20382917104246956
2025-01-09,2.125,-0.4225986393525993,-0.4225986393525993
2025-01-13,1.5,-0.787214419869482,-0.787214419869482
2025-01-16,1.625,-0.7142912637661055,-0.7142912637661055
2025-01-17,1.625,-0.7142912637661055,-0.7142912637661055
2025-01-20,1.625,-0.7142912637661055,-0.7142912637661055
2025-01-21,4.25,0.8170950144048024,0.8170950144048024
2025-01-22,2.0,-0.49552179545597586,-0.49552179545597586
2025-01-23,2.375,-0.27675232714584613,-0.27675232714584613
2025-01-24,2.375,-0.27675232714584613,-0.27675232714584613
2025-01-27,7.0,2.4214044486790867,2.4214044486790867
2025-01-28,2.0,-0.49552179545597586,-0.49552179545597586
2025-01-29,1.5,-0.787214419869482,-0.787214419869482
2025-02-03,3.25,0.23370976557778983,0.23370976557778983
2025-02-04,2.625,-0.130906014939093,-0.130906014939093
2025-02-05,2.75,-0.05798285883571644,-0.05798285883571644
2025-02-06,1.875,-0.5684449515593524,-0.5684449515593524
2025-02-10,1.75,-0.641368107662729,-0.641368107662729
2025-02-11,1.75,-0.641368107662729,-0.641368107662729
2025-02-14,1.75,-0.641368107662729,-0.641368107662729
2025-02-17,1.375,-0.8601375759728587,-0.8601375759728587
2025-02-18,1.0,-1.0789070442829884,-1.0789070442829884
2025-02-19,1.125,-1.0059838881796117,-1.0059838881796117
2025-02-20,1.375,-0.8601375759728587,-0.8601375759728587
2025-02-21,1.75,-0.641368107662729,-0.641368107662729
2025-02-24,1.5,-0.787214419869482,-0.787214419869482
2025-02-25,3.5,0.3795560777845429,0.3795560777845429
2025-02-26,4.5,0.9629413266115555,0.9629413266115555
2025-03-03,5.5,1.546326575438568,1.546326575438568
2025-03-04,6.625,2.202634980368957,2.202634980368957
2025-03-05,6.0,1.8380191998520743,1.8380191998520743
2025-03-06,5.5,1.546326575438568,1.546326575438568
2025-03-10,6.625,2.202634980368957,2.202634980368957
2025-03-11,6.75,2.2755581364723336,2.2755581364723336
2025-03-14,1.625,-0.7142912637661055,-0.7142912637661055
2025-03-17,3.75,0.5254023899912961,0.5254023899912961
2025-03-18,2.0,-0.49552179545597586,-0.49552179545597586
2025-03-19,1.75,-0.641368107662729,-0.641368107662729
2025-03-20,3.625,0.4524792338879195,0.4524792338879195
2025-03-21,2.75,-0.05798285883571644,-0.05798285883571644
2025-03-24,1.375,-0.8601375759728587,-0.8601375759728587
2025-03-25,2.75,-0.05798285883571644,-0.05798285883571644
2025-03-26,2.0,-0.49552179545597586,-0.49552179545597586
2025-03-31,1.875,-0.5684449515593524,-0.5684449515593524
2025-04-01,2.75,-0.05798285883571644,-0.05798285883571644
2025-04-02,4.25,0.8170950144048024,0.8170950144048024
2025-04-03,4.25,0.8170950144048024,0.8170950144048024
2025-04-04,10.875,4.682022287883761,4.682022287883761
2025-04-07,11.625,5.11956122450402,5.11956122450402
2025-04-08,4.375,0.8900181705081789,0.8900181705081789
2025-04-09,8.0,3.0047896975060993,3.0047896975060993
2025-04-14,4.375,0.8900181705081789,0.8900181705081789
2025-04-15,3.375,0.3066329216811664,0.3066329216811664
2025-04-16,3.25,0.23370976557778983,0.23370976557778983
2025-04-17,2.125,-0.4225986393525993,-0.4225986393525993
2025-04-21,2.75,-0.05798285883571644,-0.05798285883571644
2025-04-22,2.875,0.014940297267660125,0.014940297267660125
2025-04-23,2.875,0.014940297267660125,0.014940297267660125
2025-04-24,1.875,-0.5684449515593524,-0.5684449515593524
2025-04-25,2.75,-0.05798285883571644,-0.05798285883571644
2025-04-28,2.875,0.014940297267660125,0.014940297267660125
2025-04-29,2.0,-0.49552179545597586,-0.49552179545597586
2025-05-01,3.0,0.0878634533710367,0.0878634533710367
2025-05-05,1.375,-0.8601375759728587,-0.8601375759728587
2025-05-06,2.375,-0.27675232714584613,-0.27675232714584613
2025-05-07,2.125,-0.4225986393525993,-0.4225986393525993
2025-05-08,2.125,-0.4225986393525993,-0.4225986393525993
2025-05-09,1.5,-0.787214419869482,-0.787214419869482
2025-05-12,7.0,2.4214044486790867,2.4214044486790867
2025-05-14,2.0,-0.49552179545597586,-0.49552179545597586
2025-05-16,2.25,-0.3496754832492227,-0.3496754832492227
2025-05-19,3.125,0.16078660947441326,0.16078660947441326
2025-05-20,2.375,-0.27675232714584613,-0.27675232714584613
2025-05-21,2.5,-0.20382917104246956,-0.20382917104246956
2025-05-22,1.875,-0.5684449515593524,-0.5684449515593524
2025-05-23,2.125,-0.4225986393525993,-0.4225986393525993
2025-05-26,1.375,-0.8601375759728587,-0.8601375759728587
2025-05-27,1.5,-0.787214419869482,-0.787214419869482
2025-05-28,2.5,-0.20382917104246956,-0.20382917104246956
2025-06-02,3.75,0.5254023899912961,0.5254023899912961
2025-06-03,2.0,-0.49552179545597586,-0.49552179545597586
2025-06-04,2.625,-0.130906014939093,-0.130906014939093
2025-06-05,2.375,-0.27675232714584613,-0.27675232714584613
2025-06-09,1.258056640625,-0.9283606067805098,-0.9283606067805098
2025-06-10,2.75,-0.05798285883571644,-0.05798285883571644
2025-06-13,5.125,1.3275571071284382,1.3275571071284382
2025-06-16,2.875,0.014940297267660125,0.014940297267660125
2025-06-17,1.875,-0.5684449515593524,-0.5684449515593524
2025-06-18,2.75,-0.05798285883571644,-0.05798285883571644
2025-06-19,1.5,-0.787214419869482,-0.787214419869482
2025-06-20,3.125,0.16078660947441326,0.16078660947441326
2025-06-23,1.625,-0.7142912637661055,-0.7142912637661055
2025-06-24,1.625,-0.7142912637661055,-0.7142912637661055
