Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.9374992000000475,-0.26562946050794195,-0.26562946050794195
2024-10-15,0.6875007999999525,-0.47691829299078864,-0.47691829299078864
2024-10-16,1.0,-0.21280623819440378,-0.21280623819440378
2024-10-17,0.375,-0.7410317000442755,-0.7410317000442755
2024-10-18,0.6874992000000475,-0.47691964524789066,-0.47691964524789066
2024-10-21,1.5625007999999525,0.2625973535990318,0.2625973535990318
2024-10-22,0.6874992000000475,-0.47691964524789066,-0.47691964524789066
2024-10-23,0.625,-0.5297415153043268,-0.5297415153043268
2024-10-24,0.875,-0.31845133056437813,-0.31845133056437813
2024-10-25,0.5624992000000475,-0.582564737617865,-0.582564737617865
2024-10-28,1.1874992000000475,-0.05433927576799328,-0.05433927576799328
2024-10-29,1.0625007999999525,-0.15998301588086558,-0.15998301588086558
2024-11-04,0.875,-0.31845133056437813,-0.31845133056437813
2024-11-05,0.8124992000000475,-0.37127455287791633,-0.37127455287791633
2024-11-06,2.0,0.632354500765391,0.632354500765391
2024-11-07,1.25,-0.0015160534544550771,-0.0015160534544550771
2024-11-08,1.125,-0.10716114582442943,-0.10716114582442943
2024-11-11,0.75,-0.42409642293435246,-0.42409642293435246
2024-11-12,1.375,0.10412903891551928,0.10412903891551928
2024-11-15,1.375,0.10412903891551928,0.10412903891551928
2024-11-18,0.875,-0.31845133056437813,-0.31845133056437813
2024-11-19,2.125,0.7379995931353653,0.7379995931353653
2024-11-20,0.8124992000000475,-0.37127455287791633,-0.37127455287791633
2024-11-21,1.0625007999999525,-0.15998301588086558,-0.15998301588086558
2024-11-22,1.0,-0.21280623819440378,-0.21280623819440378
2024-11-25,0.875,-0.31845133056437813,-0.31845133056437813
2024-11-26,0.75,-0.42409642293435246,-0.42409642293435246
2024-11-28,0.3124992000000475,-0.7938549223578137,-0.7938549223578137
2024-11-29,0.5,-0.6353866076743012,-0.6353866076743012
2024-12-02,3.75,2.111385793945032,2.111385793945032
2024-12-03,0.625,-0.5297415153043268,-0.5297415153043268
2024-12-04,0.8125,-0.3712738767493653,-0.3712738767493653
2024-12-05,2.9375,1.4246926935401987,1.4246926935401987
2024-12-09,0.5625,-0.582564061489314,-0.582564061489314
2024-12-10,1.0,-0.21280623819440378,-0.21280623819440378
2024-12-13,0.875,-0.31845133056437813,-0.31845133056437813
2024-12-16,0.875,-0.31845133056437813,-0.31845133056437813
2024-12-17,1.9375,0.5795319545804039,0.5795319545804039
2024-12-18,0.75,-0.42409642293435246,-0.42409642293435246
2024-12-23,0.4375,-0.6882091538592884,-0.6882091538592884
2024-12-26,0.4375,-0.6882091538592884,-0.6882091538592884
2024-12-27,0.5625,-0.582564061489314,-0.582564061489314
2024-12-30,0.75,-0.42409642293435246,-0.42409642293435246
2024-12-31,0.5,-0.6353866076743012,-0.6353866076743012
2025-01-02,1.5,0.20977413128549363,0.20977413128549363
2025-01-03,0.625,-0.5297415153043268,-0.5297415153043268
