Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.625,-0.7672572471510506,-0.7672572471510506
2024-10-15,0.875,-0.6047098934482206,-0.6047098934482206
2024-10-16,0.75,-0.6859835702996355,-0.6859835702996355
2024-10-17,1.0,-0.5234362165968056,-0.5234362165968056
2024-10-18,0.75,-0.6859835702996355,-0.6859835702996355
2024-10-21,1.0,-0.5234362165968056,-0.5234362165968056
2024-10-22,0.875,-0.6047098934482206,-0.6047098934482206
2024-10-23,1.125,-0.4421625397453906,-0.4421625397453906
2024-10-24,1.25,-0.3608888628939756,-0.3608888628939756
2024-10-25,1.375,-0.2796151860425606,-0.2796151860425606
2024-10-28,1.375,-0.2796151860425606,-0.2796151860425606
2024-10-29,2.125,0.2080268750659294,0.2080268750659294
2024-11-04,2.0,0.12675319821451442,0.12675319821451442
2024-11-05,1.875,0.04547952136309941,0.04547952136309941
2024-11-06,1.5,-0.1983415091911456,-0.1983415091911456
2024-11-07,2.5,0.4518479056201744,0.4518479056201744
2024-11-08,1.0,-0.5234362165968056,-0.5234362165968056
2024-11-11,1.375,-0.2796151860425606,-0.2796151860425606
2024-11-12,1.0,-0.5234362165968056,-0.5234362165968056
2024-11-15,1.25,-0.3608888628939756,-0.3608888628939756
2024-11-18,1.0,-0.5234362165968056,-0.5234362165968056
2024-11-19,1.25,-0.3608888628939756,-0.3608888628939756
2024-11-20,0.875,-0.6047098934482206,-0.6047098934482206
2024-11-21,1.0,-0.5234362165968056,-0.5234362165968056
2024-11-22,1.25,-0.3608888628939756,-0.3608888628939756
2024-11-25,0.875,-0.6047098934482206,-0.6047098934482206
2024-11-26,1.25,-0.3608888628939756,-0.3608888628939756
2024-12-02,3.875,1.3458583509857396,1.3458583509857396
2024-12-03,3.875,1.3458583509857396,1.3458583509857396
2024-12-04,1.0,-0.5234362165968056,-0.5234362165968056
2024-12-05,3.625,1.1833109972829094,1.1833109972829094
2024-12-09,3.0,0.7769426130258343,0.7769426130258343
2024-12-10,0.875,-0.6047098934482206,-0.6047098934482206
2024-12-13,2.75,0.6143952593230044,0.6143952593230044
2024-12-16,1.0,-0.5234362165968056,-0.5234362165968056
2024-12-17,1.25,-0.3608888628939756,-0.3608888628939756
2024-12-18,2.875,0.6956689361744194,0.6956689361744194
2024-12-23,1.0,-0.5234362165968056,-0.5234362165968056
2024-12-26,0.625,-0.7672572471510506,-0.7672572471510506
2024-12-27,0.875,-0.6047098934482206,-0.6047098934482206
2024-12-30,1.125,-0.4421625397453906,-0.4421625397453906
2024-12-31,0.5,-0.8485309240024655,-0.8485309240024655
2025-01-02,1.0,-0.5234362165968056,-0.5234362165968056
2025-01-03,0.75,-0.6859835702996355,-0.6859835702996355
2025-01-06,2.0,0.12675319821451442,0.12675319821451442
2025-01-07,1.125,-0.4421625397453906,-0.4421625397453906
2025-01-08,2.0,0.12675319821451442,0.12675319821451442
2025-01-13,1.25,-0.3608888628939756,-0.3608888628939756
2025-01-16,1.25,-0.3608888628939756,-0.3608888628939756
2025-01-17,1.751953125,-0.034524254287512234,-0.034524254287512234
2025-01-21,1.25,-0.3608888628939756,-0.3608888628939756
2025-01-22,1.625,-0.11706783233973059,-0.11706783233973059
2025-01-23,0.875,-0.6047098934482206,-0.6047098934482206
2025-01-24,1.0,-0.5234362165968056,-0.5234362165968056
2025-01-27,1.125,-0.4421625397453906,-0.4421625397453906
2025-01-28,1.5,-0.1983415091911456,-0.1983415091911456
2025-01-29,2.0,0.12675319821451442,0.12675319821451442
2025-02-03,2.0,0.12675319821451442,0.12675319821451442
2025-02-04,1.0,-0.5234362165968056,-0.5234362165968056
2025-02-05,1.125,-0.4421625397453906,-0.4421625397453906
2025-02-06,0.625,-0.7672572471510506,-0.7672572471510506
2025-02-10,1.25,-0.3608888628939756,-0.3608888628939756
2025-02-11,0.375,-0.9298046008538806,-0.9298046008538806
2025-02-14,0.5,-0.8485309240024655,-0.8485309240024655
2025-02-18,1.25,-0.3608888628939756,-0.3608888628939756
2025-02-19,0.875,-0.6047098934482206,-0.6047098934482206
2025-02-20,0.75,-0.6859835702996355,-0.6859835702996355
2025-02-21,1.5,-0.1983415091911456,-0.1983415091911456
2025-02-24,1.0,-0.5234362165968056,-0.5234362165968056
2025-02-25,0.875,-0.6047098934482206,-0.6047098934482206
2025-02-26,3.875,1.3458583509857396,1.3458583509857396
2025-03-03,6.125,2.8087845343112097,2.8087845343112097
2025-03-04,8.125,4.10916336393385,4.10916336393385
2025-03-05,4.75,1.9147740889456446,1.9147740889456446
2025-03-06,3.875,1.3458583509857396,1.3458583509857396
2025-03-10,4.0,1.4271320278371544,1.4271320278371544
2025-03-11,1.375,-0.2796151860425606,-0.2796151860425606
2025-03-14,3.375,1.0207636435800793,1.0207636435800793
2025-03-17,1.0,-0.5234362165968056,-0.5234362165968056
2025-03-18,1.0,-0.5234362165968056,-0.5234362165968056
2025-03-19,3.625,1.1833109972829094,1.1833109972829094
2025-03-20,1.0,-0.5234362165968056,-0.5234362165968056
2025-03-21,0.75,-0.6859835702996355,-0.6859835702996355
2025-03-24,0.875,-0.6047098934482206,-0.6047098934482206
2025-03-25,1.125,-0.4421625397453906,-0.4421625397453906
2025-03-26,1.375,-0.2796151860425606,-0.2796151860425606
2025-03-31,2.625,0.5331215824715894,0.5331215824715894
2025-04-01,1.625,-0.11706783233973059,-0.11706783233973059
2025-04-02,10.5,5.653363224110734,5.653363224110734
2025-04-03,2.75,0.6143952593230044,0.6143952593230044
2025-04-04,3.375,1.0207636435800793,1.0207636435800793
