Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,3.75,-0.14905234027482417,-0.14905234027482417
2024-11-04,3.75,-0.14905234027482417,-0.14905234027482417
2024-11-05,10.75,2.585665352967298,2.585665352967298
2024-11-06,2.75,-0.5397262964522702,-0.5397262964522702
2024-11-07,4.0,-0.05138385123046264,-0.05138385123046264
2024-11-08,1.75,-0.9304002526297163,-0.9304002526297163
2024-11-10,3.0,-0.4420578074079087,-0.4420578074079087
2024-11-11,3.0,-0.4420578074079087,-0.4420578074079087
2024-11-12,1.25,-1.1257372307184392,-1.1257372307184392
2024-11-15,2.25,-0.7350632745409933,-0.7350632745409933
2024-11-17,2.0,-0.8327317635853547,-0.8327317635853547
2024-11-18,1.5,-1.0280687416740777,-1.0280687416740777
2024-11-19,3.0,-0.4420578074079087,-0.4420578074079087
2024-11-20,2.0,-0.8327317635853547,-0.8327317635853547
2024-11-21,1.75,-0.9304002526297163,-0.9304002526297163
2024-11-22,2.0,-0.8327317635853547,-0.8327317635853547
2024-11-24,3.75,-0.14905234027482417,-0.14905234027482417
2024-11-25,3.5,-0.24672082931918568,-0.24672082931918568
2024-11-26,1.75,-0.9304002526297163,-0.9304002526297163
2024-12-01,5.0,0.3392901049469834,0.3392901049469834
2024-12-02,4.5,0.1439531268582604,0.1439531268582604
2024-12-03,3.75,-0.14905234027482417,-0.14905234027482417
2024-12-04,3.0,-0.4420578074079087,-0.4420578074079087
2024-12-05,3.75,-0.14905234027482417,-0.14905234027482417
2024-12-08,3.75,-0.14905234027482417,-0.14905234027482417
2024-12-09,3.0,-0.4420578074079087,-0.4420578074079087
2024-12-10,2.75,-0.5397262964522702,-0.5397262964522702
2024-12-13,1.5,-1.0280687416740777,-1.0280687416740777
2024-12-15,1.75,-0.9304002526297163,-0.9304002526297163
2024-12-16,1.5,-1.0280687416740777,-1.0280687416740777
2024-12-17,2.25,-0.7350632745409933,-0.7350632745409933
2024-12-18,4.75,0.2416216159026219,0.2416216159026219
2024-12-22,1.75,-0.9304002526297163,-0.9304002526297163
2024-12-23,1.75,-0.9304002526297163,-0.9304002526297163
2024-12-25,1.25,-1.1257372307184392,-1.1257372307184392
2024-12-26,1.5,-1.0280687416740777,-1.0280687416740777
2024-12-27,1.5,-1.0280687416740777,-1.0280687416740777
2024-12-29,1.5,-1.0280687416740777,-1.0280687416740777
2024-12-30,2.0,-0.8327317635853547,-0.8327317635853547
2024-12-31,1.25,-1.1257372307184392,-1.1257372307184392
2025-01-01,3.0,-0.4420578074079087,-0.4420578074079087
2025-01-02,2.0,-0.8327317635853547,-0.8327317635853547
2025-01-03,0.5,-1.4187426978515238,-1.4187426978515238
2025-01-05,2.0,-0.8327317635853547,-0.8327317635853547
2025-01-06,3.5,-0.24672082931918568,-0.24672082931918568
2025-01-07,2.25,-0.7350632745409933,-0.7350632745409933
2025-01-08,3.25,-0.3443893183635472,-0.3443893183635472
2025-01-09,0.75,-1.3210742088071623,-1.3210742088071623
2025-01-12,2.75,-0.5397262964522702,-0.5397262964522702
2025-01-13,4.5,0.1439531268582604,0.1439531268582604
2025-01-16,2.25,-0.7350632745409933,-0.7350632745409933
2025-01-17,3.0040283203122726,-0.44048404757476317,-0.44048404757476317
2025-01-19,1.25,-1.1257372307184392,-1.1257372307184392
2025-01-20,5.0,0.3392901049469834,0.3392901049469834
2025-01-21,3.75,-0.14905234027482417,-0.14905234027482417
2025-01-22,2.5,-0.6373947854966318,-0.6373947854966318
2025-01-23,1.25,-1.1257372307184392,-1.1257372307184392
2025-01-24,1.25,-1.1257372307184392,-1.1257372307184392
2025-01-26,2.75,-0.5397262964522702,-0.5397262964522702
2025-01-27,4.0,-0.05138385123046264,-0.05138385123046264
2025-01-28,2.5,-0.6373947854966318,-0.6373947854966318
2025-01-29,3.0,-0.4420578074079087,-0.4420578074079087
2025-02-02,6.0,0.7299640611244295,0.7299640611244295
2025-02-03,6.25,0.827632550168791,0.827632550168791
2025-02-04,2.75,-0.5397262964522702,-0.5397262964522702
2025-02-05,3.5,-0.24672082931918568,-0.24672082931918568
2025-02-06,4.25,0.04628463781389887,0.04628463781389887
2025-02-09,2.75,-0.5397262964522702,-0.5397262964522702
2025-02-10,4.0,-0.05138385123046264,-0.05138385123046264
2025-02-11,2.5,-0.6373947854966318,-0.6373947854966318
2025-02-14,3.25,-0.3443893183635472,-0.3443893183635472
2025-02-17,1.0,-1.2234057197628008,-1.2234057197628008
