Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.125,-1.125581503835742,-1.125581503835742
2024-10-15,1.75,-0.8575859076843748,-0.8575859076843748
2024-10-16,1.75,-0.8575859076843748,-0.8575859076843748
2024-10-17,1.125,-1.125581503835742,-1.125581503835742
2024-10-18,1.125,-1.125581503835742,-1.125581503835742
2024-10-21,2.875,-0.375193834611914,-0.375193834611914
2024-10-22,2.25,-0.6431894307632812,-0.6431894307632812
2024-10-23,1.75,-0.8575859076843748,-0.8575859076843748
2024-10-24,3.0,-0.3215947153816406,-0.3215947153816406
2024-10-25,4.25,0.2143964769210937,0.2143964769210937
2024-10-28,3.75,0.0,0.0
2024-10-29,3.75,0.0,0.0
2024-11-04,4.75,0.4287929538421874,0.4287929538421874
2024-11-05,4.375,0.26799559615136714,0.26799559615136714
2024-11-06,4.125,0.1607973576908203,0.1607973576908203
2024-11-07,4.5,0.3215947153816406,0.3215947153816406
2024-11-08,4.125,0.1607973576908203,0.1607973576908203
2024-11-11,1.25,-1.0719823846054686,-1.0719823846054686
2024-11-12,2.5,-0.5359911923027343,-0.5359911923027343
2024-11-15,6.875,1.3399779807568357,1.3399779807568357
2024-11-18,3.25,-0.2143964769210937,-0.2143964769210937
2024-11-19,2.0,-0.750387669223828,-0.750387669223828
2024-11-20,1.75,-0.8575859076843748,-0.8575859076843748
2024-11-21,4.625,0.375193834611914,0.375193834611914
2024-11-22,1.875,-0.8039867884541014,-0.8039867884541014
2024-11-25,3.375,-0.1607973576908203,-0.1607973576908203
2024-11-26,2.125,-0.6967885499935546,-0.6967885499935546
2024-11-28,0.625,-1.3399779807568357,-1.3399779807568357
2024-11-29,5.375,0.6967885499935546,0.6967885499935546
2024-12-02,6.875,1.3399779807568357,1.3399779807568357
2024-12-03,5.625,0.8039867884541014,0.8039867884541014
2024-12-04,4.0,0.10719823846054685,0.10719823846054685
2024-12-05,5.25,0.6431894307632812,0.6431894307632812
2024-12-09,3.5,-0.10719823846054685,-0.10719823846054685
2024-12-10,4.625,0.375193834611914,0.375193834611914
2024-12-13,3.25,-0.2143964769210937,-0.2143964769210937
2024-12-16,2.0,-0.750387669223828,-0.750387669223828
2024-12-17,1.375,-1.0183832653751952,-1.0183832653751952
2024-12-18,10.625,2.947951557665039,2.947951557665039
2024-12-23,2.375,-0.5895903115330077,-0.5895903115330077
2024-12-24,2.75,-0.4287929538421874,-0.4287929538421874
2024-12-26,4.0,0.10719823846054685,0.10719823846054685
2024-12-27,2.875,-0.375193834611914,-0.375193834611914
2024-12-30,1.75,-0.8575859076843748,-0.8575859076843748
2024-12-31,3.875,0.053599119230273426,0.053599119230273426
2025-01-02,4.625,0.375193834611914,0.375193834611914
2025-01-03,2.625,-0.48239207307246085,-0.48239207307246085
2025-01-06,2.5,-0.5359911923027343,-0.5359911923027343
2025-01-07,2.5,-0.5359911923027343,-0.5359911923027343
2025-01-08,2.0,-0.750387669223828,-0.750387669223828
2025-01-09,1.5,-0.9647841461449217,-0.9647841461449217
