Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.5,-0.7904268750418929,-0.7904268750418929
2024-10-15,0.9375007999999525,-0.5006031575641636,-0.5006031575641636
2024-10-16,0.6875007999999525,-0.6662164075729411,-0.6662164075729411
2024-10-17,0.6874992000000475,-0.6662174674976783,-0.6662174674976783
2024-10-18,0.5624992000000475,-0.749024092502067,-0.749024092502067
2024-10-21,1.25,-0.29358712501556017,-0.29358712501556017
2024-10-22,1.125,-0.37639375001994896,-0.37639375001994896
2024-10-23,0.75,-0.6248136250331153,-0.6248136250331153
2024-10-24,1.0625007999999525,-0.4177965325597748,-0.4177965325597748
2024-10-25,2.125,0.2860592500151613,0.2860592500151613
2024-10-28,1.5,-0.12797387500678262,-0.12797387500678262
2024-10-29,1.25,-0.29358712501556017,-0.29358712501556017
2024-11-04,1.8124992000000475,0.07904215754182077,0.07904215754182077
2024-11-05,1.1874992000000475,-0.33499096748012314,-0.33499096748012314
2024-11-06,1.25,-0.29358712501556017,-0.29358712501556017
2024-11-07,2.125,0.2860592500151613,0.2860592500151613
2024-11-08,1.75,0.03763937500199494,0.03763937500199494
2024-11-11,0.5,-0.7904268750418929,-0.7904268750418929
2024-11-12,1.1874992000000475,-0.33499096748012314,-0.33499096748012314
2024-11-15,2.625,0.6172857500327165,0.6172857500327165
2024-11-18,1.125,-0.37639375001994896,-0.37639375001994896
2024-11-19,0.75,-0.6248136250331153,-0.6248136250331153
2024-11-20,0.875,-0.5420070000287265,-0.5420070000287265
2024-11-21,1.8125007999999525,0.0790432174665579,0.0790432174665579
2024-11-22,0.625,-0.7076202500375041,-0.7076202500375041
2024-11-25,1.25,-0.29358712501556017,-0.29358712501556017
2024-11-26,1.4375007999999525,-0.16937665754660844,-0.16937665754660844
2024-11-28,0.25,-0.9560401250506705,-0.9560401250506705
2024-11-29,4.1875,1.6523685625875761,1.6523685625875761
2024-12-02,4.375,1.7765785000941592,1.7765785000941592
2024-12-03,1.5,-0.12797387500678262,-0.12797387500678262
2024-12-04,1.8125,0.07904268750418933,0.07904268750418933
2024-12-05,3.0625,0.9071089375480772,0.9071089375480772
2024-12-09,1.9375,0.16184931250857812,0.16184931250857812
2024-12-10,1.25,-0.29358712501556017,-0.29358712501556017
2024-12-13,0.875,-0.5420070000287265,-0.5420070000287265
2024-12-16,1.1875,-0.3349904375177546,-0.3349904375177546
2024-12-17,0.4375,-0.8318301875440872,-0.8318301875440872
2024-12-18,4.8125,2.06640168760952,2.06640168760952
2024-12-23,0.625,-0.7076202500375041,-0.7076202500375041
2024-12-24,1.0,-0.45920037502433775,-0.45920037502433775
2024-12-26,1.25,-0.29358712501556017,-0.29358712501556017
2024-12-27,0.75,-0.6248136250331153,-0.6248136250331153
2024-12-30,0.5625,-0.7490235625396985,-0.7490235625396985
2024-12-31,1.5,-0.12797387500678262,-0.12797387500678262
2025-01-02,1.6875,-0.0037639375001994498,-0.0037639375001994498
2025-01-03,1.25,-0.29358712501556017,-0.29358712501556017
2025-01-06,1.0,-0.45920037502433775,-0.45920037502433775
2025-01-07,1.0625,-0.4177970625221434,-0.4177970625221434
2025-01-08,0.9375,-0.5006036875265322,-0.5006036875265322
2025-01-09,0.4375,-0.8318301875440872,-0.8318301875440872
2025-01-13,0.6875,-0.6662169375353098,-0.6662169375353098
2025-01-16,2.375,0.4516725000239388,0.4516725000239388
2025-01-17,1.0625,-0.4177970625221434,-0.4177970625221434
2025-01-20,0.5,-0.7904268750418929,-0.7904268750418929
2025-01-21,0.8125,-0.5834103125309209,-0.5834103125309209
2025-01-22,1.0625,-0.4177970625221434,-0.4177970625221434
2025-01-23,1.0,-0.45920037502433775,-0.45920037502433775
2025-01-24,1.0625,-0.4177970625221434,-0.4177970625221434
2025-01-27,1.3125,-0.2521838125133658,-0.2521838125133658
2025-01-28,0.75,-0.6248136250331153,-0.6248136250331153
2025-01-29,2.0,0.20325262501077251,0.20325262501077251
2025-02-03,1.5,-0.12797387500678262,-0.12797387500678262
2025-02-04,0.5,-0.7904268750418929,-0.7904268750418929
2025-02-05,0.375,-0.8732335000462816,-0.8732335000462816
2025-02-06,0.5625,-0.7490235625396985,-0.7490235625396985
2025-02-10,0.6875,-0.6662169375353098,-0.6662169375353098
2025-02-11,0.5625,-0.7490235625396985,-0.7490235625396985
2025-02-14,0.625,-0.7076202500375041,-0.7076202500375041
2025-02-17,0.1875,-0.9974434375528648,-0.9974434375528648
2025-02-18,0.75,-0.6248136250331153,-0.6248136250331153
2025-02-19,0.625,-0.7076202500375041,-0.7076202500375041
2025-02-20,0.5625,-0.7490235625396985,-0.7490235625396985
2025-02-21,1.8125,0.07904268750418933,0.07904268750418933
2025-02-24,1.0625,-0.4177970625221434,-0.4177970625221434
2025-02-25,1.125,-0.37639375001994896,-0.37639375001994896
2025-02-26,5.75,2.6874513751424356,2.6874513751424356
2025-03-03,5.4375,2.4804348126314637,2.4804348126314637
2025-03-04,6.6875,3.3085010626753517,3.3085010626753517
2025-03-05,5.4375,2.4804348126314637,2.4804348126314637
2025-03-06,5.0625,2.2320149376182976,2.2320149376182976
2025-03-10,4.0,1.5281586250809929,1.5281586250809929
2025-03-11,5.25,2.3562248751248807,2.3562248751248807
2025-03-14,1.625,-0.04516725000239384,-0.04516725000239384
2025-03-17,1.6875,-0.0037639375001994498,-0.0037639375001994498
2025-03-18,2.625,0.6172857500327165,0.6172857500327165
2025-03-19,3.6875,1.321142062570021,1.321142062570021
2025-03-20,1.0625,-0.4177970625221434,-0.4177970625221434
2025-03-21,1.1875,-0.3349904375177546,-0.3349904375177546
2025-03-24,0.75,-0.6248136250331153,-0.6248136250331153
2025-03-25,0.8125,-0.5834103125309209,-0.5834103125309209
2025-03-26,1.0,-0.45920037502433775,-0.45920037502433775
2025-03-31,1.6875,-0.0037639375001994498,-0.0037639375001994498
2025-04-01,1.1875,-0.3349904375177546,-0.3349904375177546
2025-04-02,2.1875,0.32746256251735567,0.32746256251735567
2025-04-03,2.0625,0.2446559375129669,0.2446559375129669
2025-04-04,6.3125,3.060081187662185,3.060081187662185
2025-04-07,4.125,1.6109652500853817,1.6109652500853817
2025-04-08,4.625,1.9421917501029369,1.9421917501029369
2025-04-09,9.25,5.0060368752653215,5.0060368752653215
2025-04-14,2.5625,0.575882437530522,0.575882437530522
2025-04-15,1.5,-0.12797387500678262,-0.12797387500678262
2025-04-16,1.1875,-0.3349904375177546,-0.3349904375177546
2025-04-17,1.8125,0.07904268750418933,0.07904268750418933
2025-04-21,1.3125,-0.2521838125133658,-0.2521838125133658
2025-04-22,1.4375,-0.169377187508977,-0.169377187508977
2025-04-23,1.625,-0.04516725000239384,-0.04516725000239384
2025-04-24,1.0625,-0.4177970625221434,-0.4177970625221434
2025-04-25,1.625,-0.04516725000239384,-0.04516725000239384
2025-04-28,2.0625,0.2446559375129669,0.2446559375129669
2025-04-29,0.75,-0.6248136250331153,-0.6248136250331153
2025-05-01,2.9375,0.8243023125436884,0.8243023125436884
2025-05-05,0.6875,-0.6662169375353098,-0.6662169375353098
2025-05-06,0.875,-0.5420070000287265,-0.5420070000287265
2025-05-07,1.9375,0.16184931250857812,0.16184931250857812
2025-05-08,2.5625,0.575882437530522,0.575882437530522
2025-05-09,1.4375,-0.169377187508977,-0.169377187508977
2025-05-12,1.25,-0.29358712501556017,-0.29358712501556017
2025-05-14,1.5,-0.12797387500678262,-0.12797387500678262
2025-05-16,1.5625,-0.08657056250458824,-0.08657056250458824
2025-05-19,0.875,-0.5420070000287265,-0.5420070000287265
2025-05-20,1.0625,-0.4177970625221434,-0.4177970625221434
2025-05-21,0.75,-0.6248136250331153,-0.6248136250331153
2025-05-22,0.625,-0.7076202500375041,-0.7076202500375041
2025-05-23,1.3125,-0.2521838125133658,-0.2521838125133658
2025-05-26,0.25,-0.9560401250506705,-0.9560401250506705
2025-05-27,0.8125,-0.5834103125309209,-0.5834103125309209
2025-05-28,5.4375,2.4804348126314637,2.4804348126314637
2025-06-02,5.8125,2.7288546876446302,2.7288546876446302
2025-06-03,0.875,-0.5420070000287265,-0.5420070000287265
2025-06-04,1.25,-0.29358712501556017,-0.29358712501556017
2025-06-05,2.25,0.3688658750195501,0.3688658750195501
2025-06-09,1.125,-0.37639375001994896,-0.37639375001994896
2025-06-10,0.875,-0.5420070000287265,-0.5420070000287265
2025-06-13,1.375,-0.2107805000111714,-0.2107805000111714
2025-06-16,0.9375,-0.5006036875265322,-0.5006036875265322
2025-06-17,1.25,-0.29358712501556017,-0.29358712501556017
2025-06-18,1.125,-0.37639375001994896,-0.37639375001994896
2025-06-19,0.25,-0.9560401250506705,-0.9560401250506705
2025-06-20,1.6875,-0.0037639375001994498,-0.0037639375001994498
2025-06-23,1.5,-0.12797387500678262,-0.12797387500678262
2025-06-24,1.0,-0.45920037502433775,-0.45920037502433775
2025-06-25,0.4375,-0.8318301875440872,-0.8318301875440872
