Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.875,-0.7193422207890745,-0.7193422207890745
2024-10-15,3.0,-0.07768699308590135,-0.07768699308590135
2024-10-16,2.375,-0.4341621195876642,-0.4341621195876642
2024-10-17,4.5,0.7778533105183295,0.7778533105183295
2024-10-18,2.5,-0.3628670942873116,-0.3628670942873116
2024-10-21,1.875,-0.7193422207890745,-0.7193422207890745
2024-10-22,2.625,-0.2915720689869591,-0.2915720689869591
2024-10-23,2.875,-0.14898201838625394,-0.14898201838625394
2024-10-24,2.375,-0.4341621195876642,-0.4341621195876642
2024-10-25,2.375,-0.4341621195876642,-0.4341621195876642
2024-10-28,1.875,-0.7193422207890745,-0.7193422207890745
2024-10-29,3.0,-0.07768699308590135,-0.07768699308590135
2024-11-04,1.75,-0.7906372460894271,-0.7906372460894271
2024-11-05,2.375,-0.4341621195876642,-0.4341621195876642
2024-11-06,3.875,0.4213781840165666,0.4213781840165666
2024-11-07,6.0,1.6333936141225605,1.6333936141225605
2024-11-08,3.0,-0.07768699308590135,-0.07768699308590135
2024-11-11,2.125,-0.5767521701883693,-0.5767521701883693
2024-11-12,2.625,-0.2915720689869591,-0.2915720689869591
2024-11-15,6.75,2.0611637659246758,2.0611637659246758
2024-11-18,3.25,0.06490305751480378,0.06490305751480378
2024-11-19,3.125,-0.006391967785548785,-0.006391967785548785
2024-11-20,1.875,-0.7193422207890745,-0.7193422207890745
2024-11-21,2.625,-0.2915720689869591,-0.2915720689869591
2024-11-22,2.0,-0.6480471954887219,-0.6480471954887219
2024-11-25,5.75,1.4908035635218553,1.4908035635218553
2024-11-26,2.5,-0.3628670942873116,-0.3628670942873116
2024-11-28,1.25,-1.0758173472908374,-1.0758173472908374
2024-11-29,6.0,1.6333936141225605,1.6333936141225605
2024-12-02,6.75,2.0611637659246758,2.0611637659246758
2024-12-03,6.125,1.7046886394229128,1.7046886394229128
2024-12-04,0.875,-1.289702423191895,-1.289702423191895
2024-12-05,2.375,-0.4341621195876642,-0.4341621195876642
2024-12-09,3.875,0.4213781840165666,0.4213781840165666
2024-12-10,3.625,0.2787881334158615,0.2787881334158615
2024-12-13,2.875,-0.14898201838625394,-0.14898201838625394
2024-12-16,2.5,-0.3628670942873116,-0.3628670942873116
2024-12-17,3.5,0.20749310811550892,0.20749310811550892
2024-12-18,3.875,0.4213781840165666,0.4213781840165666
2024-12-23,1.375,-1.0045223219904849,-1.0045223219904849
2024-12-24,0.5,-1.5035874990929528,-1.5035874990929528
2024-12-26,1.125,-1.14711237259119,-1.14711237259119
2024-12-27,1.75,-0.7906372460894271,-0.7906372460894271
2024-12-30,2.75,-0.2202770436866065,-0.2202770436866065
2024-12-31,2.0,-0.6480471954887219,-0.6480471954887219
2025-01-02,2.5,-0.3628670942873116,-0.3628670942873116
2025-01-03,1.5,-0.9332272966901322,-0.9332272966901322
2025-01-06,2.625,-0.2915720689869591,-0.2915720689869591
2025-01-07,1.25,-1.0758173472908374,-1.0758173472908374
2025-01-08,3.75,0.3500831587162141,0.3500831587162141
2025-01-09,1.5,-0.9332272966901322,-0.9332272966901322
2025-01-13,2.625,-0.2915720689869591,-0.2915720689869591
2025-01-16,3.125,-0.006391967785548785,-0.006391967785548785
2025-01-17,3.5,0.20749310811550892,0.20749310811550892
2025-01-20,4.5,0.7778533105183295,0.7778533105183295
2025-01-21,2.125,-0.5767521701883693,-0.5767521701883693
2025-01-22,2.0,-0.6480471954887219,-0.6480471954887219
2025-01-23,2.625,-0.2915720689869591,-0.2915720689869591
2025-01-24,1.0,-1.2184073978915424,-1.2184073978915424
2025-01-27,4.0,0.4926732093169192,0.4926732093169192
2025-01-28,1.75,-0.7906372460894271,-0.7906372460894271
2025-01-29,1.375,-1.0045223219904849,-1.0045223219904849
2025-02-03,3.0,-0.07768699308590135,-0.07768699308590135
2025-02-04,1.875,-0.7193422207890745,-0.7193422207890745
2025-02-05,1.25,-1.0758173472908374,-1.0758173472908374
2025-02-06,2.25,-0.5054571448880167,-0.5054571448880167
2025-02-10,2.5,-0.3628670942873116,-0.3628670942873116
2025-02-11,1.25,-1.0758173472908374,-1.0758173472908374
2025-02-14,4.75,0.9204433611190347,0.9204433611190347
2025-02-17,0.625,-1.4322924737926002,-1.4322924737926002
2025-02-18,1.0,-1.2184073978915424,-1.2184073978915424
2025-02-19,2.0,-0.6480471954887219,-0.6480471954887219
2025-02-20,1.875,-0.7193422207890745,-0.7193422207890745
2025-02-21,1.625,-0.8619322713897797,-0.8619322713897797
2025-02-24,2.875,-0.14898201838625394,-0.14898201838625394
2025-02-25,2.625,-0.2915720689869591,-0.2915720689869591
2025-02-26,4.5,0.7778533105183295,0.7778533105183295
2025-03-03,4.875,0.9917383864193872,0.9917383864193872
2025-03-04,6.75,2.0611637659246758,2.0611637659246758
2025-03-05,5.875,1.5620985888222079,1.5620985888222079
2025-03-06,7.5,2.4889339177267913,2.4889339177267913
2025-03-10,4.125,0.5639682346172717,0.5639682346172717
2025-03-11,5.375,1.2769184876207975,1.2769184876207975
2025-03-14,3.875,0.4213781840165666,0.4213781840165666
2025-03-17,6.875,2.1324587912250283,2.1324587912250283
2025-03-18,2.5,-0.3628670942873116,-0.3628670942873116
2025-03-19,3.125,-0.006391967785548785,-0.006391967785548785
2025-03-20,2.875,-0.14898201838625394,-0.14898201838625394
2025-03-21,2.5,-0.3628670942873116,-0.3628670942873116
2025-03-24,1.25,-1.0758173472908374,-1.0758173472908374
2025-03-25,2.625,-0.2915720689869591,-0.2915720689869591
2025-03-26,1.75,-0.7906372460894271,-0.7906372460894271
2025-03-31,3.25,0.06490305751480378,0.06490305751480378
2025-04-01,3.75,0.3500831587162141,0.3500831587162141
2025-04-02,2.75,-0.2202770436866065,-0.2202770436866065
2025-04-03,8.125,2.8454090442285542,2.8454090442285542
2025-04-04,8.625,3.130589145429964,3.130589145429964
2025-04-07,8.0,2.7741140189282016,2.7741140189282016
2025-04-08,9.75,3.7722443731331374,3.7722443731331374
2025-04-09,8.75,3.2018841707303167,3.2018841707303167
2025-04-14,3.625,0.2787881334158615,0.2787881334158615
2025-04-15,4.875,0.9917383864193872,0.9917383864193872
2025-04-16,2.875,-0.14898201838625394,-0.14898201838625394
2025-04-17,3.75,0.3500831587162141,0.3500831587162141
2025-04-21,4.0,0.4926732093169192,0.4926732093169192
2025-04-22,1.75,-0.7906372460894271,-0.7906372460894271
2025-04-23,2.25,-0.5054571448880167,-0.5054571448880167
2025-04-24,3.5,0.20749310811550892,0.20749310811550892
2025-04-25,1.875,-0.7193422207890745,-0.7193422207890745
2025-04-28,2.0,-0.6480471954887219,-0.6480471954887219
2025-04-29,2.875,-0.14898201838625394,-0.14898201838625394
2025-05-01,2.875,-0.14898201838625394,-0.14898201838625394
2025-05-05,2.5,-0.3628670942873116,-0.3628670942873116
2025-05-06,2.25,-0.5054571448880167,-0.5054571448880167
2025-05-07,2.875,-0.14898201838625394,-0.14898201838625394
2025-05-08,2.625,-0.2915720689869591,-0.2915720689869591
2025-05-09,1.875,-0.7193422207890745,-0.7193422207890745
2025-05-12,3.125,-0.006391967785548785,-0.006391967785548785
2025-05-14,2.375,-0.4341621195876642,-0.4341621195876642
2025-05-16,2.0,-0.6480471954887219,-0.6480471954887219
2025-05-19,3.375,0.13619808281515636,0.13619808281515636
2025-05-20,1.5,-0.9332272966901322,-0.9332272966901322
2025-05-21,1.75,-0.7906372460894271,-0.7906372460894271
2025-05-22,2.875,-0.14898201838625394,-0.14898201838625394
2025-05-23,6.625,1.9898687406243232,1.9898687406243232
2025-05-26,1.25,-1.0758173472908374,-1.0758173472908374
2025-05-27,1.625,-0.8619322713897797,-0.8619322713897797
2025-05-28,4.75,0.9204433611190347,0.9204433611190347
2025-06-02,3.0,-0.07768699308590135,-0.07768699308590135
2025-06-03,3.5,0.20749310811550892,0.20749310811550892
2025-06-04,4.5,0.7778533105183295,0.7778533105183295
2025-06-05,4.375,0.7065582852179769,0.7065582852179769
2025-06-09,1.875,-0.7193422207890745,-0.7193422207890745
2025-06-10,1.125,-1.14711237259119,-1.14711237259119
2025-06-13,3.625,0.2787881334158615,0.2787881334158615
2025-06-16,2.75,-0.2202770436866065,-0.2202770436866065
2025-06-17,4.625,0.8491483358186821,0.8491483358186821
2025-06-18,1.875,-0.7193422207890745,-0.7193422207890745
2025-06-19,3.0,-0.07768699308590135,-0.07768699308590135
2025-06-20,2.25,-0.5054571448880167,-0.5054571448880167
2025-06-23,4.125,0.5639682346172717,0.5639682346172717
2025-06-24,2.25,-0.5054571448880167,-0.5054571448880167
2025-06-25,2.875,-0.14898201838625394,-0.14898201838625394
2025-06-30,1.75,-0.7906372460894271,-0.7906372460894271
2025-07-01,3.0,-0.07768699308590135,-0.07768699308590135
