"(Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,145.0,145.0,145.0,137.0,160.0,186.0
mean,4.36896551724138,3.9275862068965517,5.810344827586207,2.343065693430657,3.421875,8.67741935483871
std,3.8024209620206166,3.5448413763018736,4.170443690389866,2.3269140009272933,4.699975536869294,10.159310777136124
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.10000000000000009,0.10000000000000009,0.5,0.5,0.0,0.5
25%,1.5,1.5,2.5,1.0,1.0,2.5
50%,3.5,3.0,5.5,1.5,2.5,6.0
68%,5.5,4.5,8.0,2.5,3.5,10.5
90%,8.299999999999997,8.5,10.5,4.700000000000003,6.549999999999997,18.25
95%,10.0,9.899999999999991,13.0,7.0,8.074999999999974,21.875
99%,16.340000000000003,15.060000000000002,16.5,11.779999999999973,19.64999999999995,54.15000000000006
99.7%,22.964000000000127,18.908000000000072,17.068000000000012,12.796000000000006,37.91399999999993,73.95749999999984
max,27.5,21.5,17.5,13.0,46.5,87.0
