"(Vol Return Stats:- Interval:1m, Symbol:ZB)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,142.0,142.0,142.0,134.0,156.0,182.0
mean,9.165578063105189,9.274647887323944,11.133802816901408,5.268656716417911,7.166666666666667,17.494527628133586
std,5.2113601224806345,4.19497227980458,5.34912848106515,3.481776789312268,6.296269590216748,11.507009194595527
min,0.0,2.0,2.0,1.5,2.5,0.0
5%,4.5,4.025,5.0,2.5,2.875,4.5
25%,6.5,6.5,7.0,3.5,4.0,11.0
50%,8.5,8.5,10.0,4.0,5.25,16.0
68%,9.5,10.440000000000005,12.5,5.0,7.0,19.5
90%,12.5,14.950000000000003,17.5,8.5,12.0,27.450000000000003
95%,14.974999999999994,17.474999999999994,20.974999999999994,10.699999999999989,16.0,31.44999999999999
99%,27.97500000000001,22.47500000000001,28.590000000000003,19.50499999999998,37.34999999999974,76.19
99.7%,41.40549999999996,26.096499999999992,32.75049999999999,22.103499999999997,50.535,85.45449999999988
max,50.5,28.0,35.5,23.5,51.0,95.5
