"(Return Stats:- Interval:1m, Symbol:ZF)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,145.0,145.0,145.0,137.0,160.0,186.0
mean,1.3155172413793104,1.4112068965517242,1.9655172413793103,0.6843065693430657,1.03828125,2.4966397849462365
std,1.179531263441873,1.319994906853346,1.7210831864759224,0.7030462034231484,1.1641085674793958,2.478298811538566
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.125,0.125,0.025000000000000022,0.0,0.125,0.125
25%,0.5,0.5,0.75,0.25,0.25,0.75
50%,1.0,1.125,1.75,0.5,0.75,1.875
68%,1.5,1.5,2.25,0.75,1.125,3.0
90%,2.5,2.8999999999999986,3.9499999999999993,1.5500000000000007,2.125,5.5
95%,3.3249999999999957,4.125,5.199999999999996,1.9249999999999972,2.625,6.9375
99%,6.375,5.945,8.335000000000008,3.25,6.393749999999994,11.306250000000016
99.7%,6.659000000000006,7.136000000000024,10.017000000000003,3.990000000000016,8.088374999999996,14.306249999999991
max,6.875,8.0,10.125,4.5,8.625,15.0
