"(Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,130.0,129.0,144.0,132.0,142.0,166.0
mean,2.25,1.813953488372093,2.3038194444444446,1.0681818181818181,1.8556338028169015,4.168674698795181
std,1.9171300417288404,1.9363098839208994,2.018741557917018,1.4584221413096818,2.019041435644466,4.178155391480308
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.25,0.3125
25%,0.75,0.5,0.75,0.25,0.75,1.25
50%,1.75,1.25,1.75,0.5,1.5,3.25
68%,2.9300000000000033,1.75,2.75,1.0,2.0,4.800000000000001
90%,4.775000000000002,3.5,5.25,2.25,3.950000000000003,8.75
95%,5.637499999999999,4.599999999999994,6.5,3.0,4.5,12.0625
99%,8.427499999999998,10.049999999999997,8.534999999999997,6.939999999999998,7.192500000000003,17.524999999999963
99.7%,8.65325,12.136,9.320999999999998,9.829749999999997,13.70274999999998,26.421249999999958
max,8.75,13.0,9.75,11.5,18.25,31.0
