"(Vol Return Stats:- Interval:15m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,165.0,165.0,180.0,167.0,181.0,211.0
mean,4.748557350852274,4.039393939393939,4.104189046223957,2.1886819622473803,3.410220994475138,8.048597290617593
std,2.5244335215120475,2.225467804198484,2.5273371232250015,1.9420222016260438,2.584251010297461,5.050546012798359
min,1.5,1.25,0.5,0.5,0.0,0.0
5%,2.0,2.0,1.25,0.75,1.0,2.125
25%,3.0,2.75,2.5,1.25,2.0,5.125
50%,4.25,3.5,3.5,1.75,2.75,7.25
68%,5.25,4.380000000000003,4.5,2.25,3.5,9.25
90%,7.5,6.399999999999999,7.5,3.75,5.75,13.25
95%,9.599999999999987,6.949999999999996,8.799999999999983,4.424999999999997,8.75,17.125
99%,15.179999999999993,13.429999999999993,12.0,11.670000000000002,11.549999999999955,25.500000000000014
99.7%,15.754000000000005,14.639000000000017,14.430749999999968,13.380500000000026,18.31500000000006,34.627500000000026
max,16.0,15.5,17.25,14.75,22.5,38.25
