"(Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,542.0,542.0,546.0,528.0,607.0,693.0
mean,2.120848708487085,2.503228782287823,2.366758241758242,1.0814733794241236,1.4077429983525536,4.187959569185155
std,1.8745717487986138,2.148240844016803,2.1437424029182153,1.1638501994077888,1.5169333577085544,3.900108459206849
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.0,0.25
25%,0.75,1.0,0.75,0.25,0.5,1.25
50%,1.75,2.0,1.75,0.75,1.0,3.25
68%,2.5,2.75,2.75,1.25,1.5,5.0
90%,4.25,5.25,5.0,2.25,2.8499999999999943,9.25
95%,5.25,6.75,6.4375,3.0,3.674999999999983,11.599999999999994
99%,9.48750000000004,10.23750000000004,9.137499999999989,6.047500000000014,6.234999999999985,16.5
99.7%,12.315499999999929,11.376999999999953,11.023750000000007,7.959499999999991,12.114000000000033,21.692999999999984
max,13.5,15.0,19.75,9.0,18.25,31.0
