"(Vol Return Stats:- Interval:1h, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,503.0,502.0,506.0,489.0,563.0,643.0
mean,4.6416818910754225,5.342629482071713,5.0810276679841895,2.526118553489263,3.3903197158081704,8.787741938423405
std,2.723777007154936,2.7990562741958405,2.813133225740939,1.834160708172808,2.461596400123647,5.157778300666748
min,1.5,1.0,1.0,0.5,0.0,0.0
5%,2.25,2.25,2.0,1.0,1.5,2.25
25%,3.25,3.5,3.25,1.5,2.25,5.25
50%,4.0,4.75,4.25,2.0,2.75,8.0
68%,4.75,5.75,5.5,2.5,3.25,10.25
90%,7.0,8.75,8.75,4.25,5.5,14.950000000000017
95%,9.25,10.487499999999997,10.5,6.699999999999974,8.474999999999994,17.724999999999994
99%,15.745000000000005,15.237500000000011,12.987499999999997,10.310000000000002,13.129999999999995,27.54000000000002
99.7%,21.117499999999964,18.61825000000003,16.606250000000017,11.5,21.813999999999965,32.758999999999844
max,28.25,24.5,30.0,14.75,23.25,38.25
