"(Return Stats:- Interval:1m, Symbol:ZT)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,142.0,143.0,143.0,135.0,155.0,181.0
mean,0.4854753690140835,0.611013963636365,0.854895127272726,0.3402777659259266,0.41653226838709617,0.9962016309392281
std,0.5555204002833138,0.7016556013996753,1.03060561730338,0.5583212672640521,0.4843470018691015,0.9958064536206347
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.06249924000004512,0.0625,0.0625,0.0,0.0,0.0625007999999525
25%,0.1874992000000475,0.1875,0.25,0.125,0.125,0.25
50%,0.3125,0.4375,0.5625,0.1875,0.3125,0.6875
68%,0.5,0.6875,0.875,0.3125,0.4375,1.0249996800000194
90%,1.0562500000000004,1.1875,1.9249999999999998,0.5625004799999715,0.8874999999999993,2.1875
95%,1.3124999600000025,1.543750000000001,2.8125000000000036,0.9124999999999996,1.081249999999999,3.0625
99%,3.085000000000001,3.7962495360000297,5.185000000000009,3.14749999999999,2.437500367999978,4.999999999999993
99.7%,3.4038749999999993,4.0543746592000245,6.109875000000013,4.424000000000007,3.2445003695999945,5.557500000000001
max,3.5625,4.1875,6.5625,4.625,3.9375,5.625
